DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2023-10-26,547.0,552.9,543.2,551.45,317445,547.27
2023-10-25,556.2,560.8,553.6,558.6,262171,557.67
2023-10-23,552.95,566.0,551.0,563.1,263251,559.35
2023-10-20,563.1,570.0,562.1,569.9,282726,565.15
2023-10-19,571.2,574.0,567.0,569.8,239777,570.92
2023-10-18,572.65,579.25,569.35,577.75,270057,573.26
2023-10-17,576.45,579.95,575.3,577.7,269728,577.46
2023-10-16,575.65,578.75,571.5,576.0,485503,576.02
2023-10-13,576.15,581.3,574.8,577.75,465129,577.07
2023-10-12,586.05,593.0,585.0,590.8,171954,588.33
2023-10-11,588.35,597.0,587.6,596.9,209131,591.39
2023-10-10,591.65,595.0,585.75,587.0,250192,590.68
2023-10-09,585.1,589.0,581.55,588.0,235554,584.53
2023-10-06,594.25,598.95,592.2,593.4,187684,595.04
2023-10-05,592.15,594.35,587.1,590.0,209600,591.18
2023-10-04,586.25,600.45,584.45,600.0,308578,590.41
2023-10-03,602.95,604.9,589.6,596.6,245784,597.63
2023-09-29,598.55,600.0,591.3,592.85,224164,597.22
2023-09-28,589.95,595.2,588.85,591.25,287488,591.37
2023-09-27,589.75,594.3,588.2,593.45,232626,590.74
2023-09-26,594.4,595.0,591.25,594.0,185873,593.8
2023-09-25,594.05,601.5,590.45,601.5,262285,594.79
2023-09-22,598.15,602.0,591.4,593.5,295166,598.12
2023-09-21,588.15,606.6,584.65,600.0,425490,593.29
2023-09-20,601.1,606.8,599.4,600.85,351772,602.78
2023-09-18,603.95,608.4,597.05,598.8,336027,605.18
2023-09-15,598.8,600.7,595.2,599.35,182595,598.23
2023-09-14,597.3,603.7,595.2,598.45,260528,598.77
2023-09-13,596.45,598.0,583.45,588.4,279643,592.24
2023-09-12,588.35,594.25,584.65,593.65,254109,588.44
2023-09-11,591.7,592.3,585.35,587.0,271751,590.12
2023-09-08,583.45,588.5,579.7,581.0,205241,584.57
2023-09-07,579.05,581.0,568.0,568.0,180550,575.6
2023-09-06,570.5,574.25,568.0,574.25,337013,570.55
2023-09-05,573.0,578.25,571.35,575.6,247672,574.05
2023-09-04,575.55,576.35,568.45,572.0,195524,572.87
2023-09-01,569.55,571.2,562.1,562.7,260408,567.55
2023-08-31,561.35,570.3,559.4,569.3,326854,564.43
2023-08-30,567.4,577.7,566.1,576.7,245036,571.91
2023-08-29,574.85,576.3,571.85,573.65,232951,574.01
2023-08-28,572.85,574.8,569.2,572.8,181649,571.84
2023-08-25,569.95,575.3,567.2,573.8,198589,571.2
2023-08-24,576.95,582.0,575.55,578.15,321952,578.0
2023-08-23,576.9,577.95,566.0,571.0,260827,572.66
2023-08-22,568.5,574.45,567.5,572.5,194890,570.63
2023-08-21,571.7,575.55,570.75,572.95,154325,572.74
2023-08-18,572.95,575.25,567.4,570.0,296911,571.79
2023-08-17,572.15,573.15,564.0,565.75,338178,568.81
2023-08-16,565.35,566.4,554.0,558.8,190829,563.54
2023-08-14,560.8,573.0,558.6,572.95,478707,561.45
2023-08-11,574.15,579.0,572.0,575.45,263372,575.36
2023-08-10,573.65,577.6,570.1,573.75,421225,573.33
2023-08-09,573.75,575.0,568.35,575.0,247711,571.15
2023-08-08,573.1,574.25,568.45,571.0,353947,571.54
2023-08-07,567.9,577.0,566.65,577.0,424649,569.52
2023-08-04,573.3,598.7,571.4,594.8,568761,582.94
2023-08-03,590.5,600.85,585.0,598.7,320867,590.78
2023-08-02,598.45,610.5,594.1,609.85,273820,601.63
2023-08-01,611.85,620.85,610.6,620.2,199918,614.09
2023-07-31,620.2,621.0,614.5,616.65,124305,618.92
2023-07-28,616.05,619.9,613.6,616.4,161432,616.59
2023-07-27,616.55,621.25,613.1,616.4,226610,616.65
2023-07-26,615.15,616.35,609.15,612.0,172572,613.49
2023-07-25,609.6,621.8,604.2,621.8,282970,610.43
2023-07-24,617.65,621.9,614.3,615.05,202347,618.22
2023-07-21,615.1,619.5,609.0,610.0,278392,616.02
2023-07-20,610.05,610.8,598.75,601.4,418329,607.09
2023-07-19,601.45,602.4,592.0,594.65,229380,598.2
2023-07-18,592.35,604.05,588.75,603.05,356474,597.04
2023-07-17,601.1,602.85,584.2,587.0,255411,594.72
2023-07-14,584.4,591.3,580.7,586.75,191652,584.92
2023-07-13,585.65,598.0,583.35,594.9,292405,591.82
2023-07-12,589.25,594.5,588.2,589.0,227576,590.82
2023-07-11,588.55,595.95,587.35,595.0,224137,591.37
2023-07-10,592.6,599.8,590.25,594.65,175959,595.13
2023-07-07,593.6,595.5,585.5,590.0,220036,590.44
2023-07-06,592.5,593.5,589.1,590.4,188528,591.75
2023-07-05,590.6,593.7,588.2,589.8,271617,590.5
2023-07-04,589.25,595.95,582.25,588.2,350400,590.37
2023-07-03,585.45,586.35,573.9,574.5,211446,581.26
2023-06-30,572.85,574.0,570.2,574.0,155913,572.3
2023-06-28,569.8,574.0,568.55,572.25,243601,571.17
2023-06-27,566.1,567.95,555.65,558.25,211284,560.63
2023-06-26,557.05,558.5,554.5,556.0,164198,556.75
2023-06-23,554.6,562.1,553.8,562.0,218058,556.89
2023-06-22,562.95,569.0,561.05,566.35,199200,564.62
2023-06-21,566.35,569.5,565.65,567.4,219147,567.46
2023-06-20,567.4,569.45,562.55,568.85,216416,565.75
2023-06-19,568.85,572.75,565.9,571.25,213062,568.29
2023-06-16,571.25,574.7,567.05,568.75,178755,570.69
2023-06-15,566.5,576.7,565.25,576.0,232221,571.49
2023-06-14,576.55,578.55,575.25,577.0,122388,576.96
2023-06-13,576.4,581.4,574.25,579.45,198530,576.44
2023-06-12,578.65,581.5,577.7,580.0,129364,579.37
2023-06-09,578.7,589.1,576.75,588.0,253490,580.81
2023-06-08,588.5,593.95,586.35,589.95,140988,591.21
2023-06-07,589.2,590.6,586.0,588.0,170307,588.49
2023-06-06,585.35,588.9,583.0,588.0,140444,585.23
2023-06-05,587.2,589.8,586.0,588.5,143514,587.86
2023-06-02,587.2,588.9,583.0,584.7,157397,586.45
2023-06-01,582.75,586.4,581.0,581.8,170662,584.03
2023-05-31,579.85,584.8,577.5,583.8,209733,581.09
2023-05-30,592.8,595.5,591.5,595.0,156739,593.57
2023-05-29,595.0,596.4,588.05,590.0,323484,593.5
2023-05-26,586.0,587.75,580.55,581.25,117540,585.13
2023-05-25,581.25,582.9,577.0,582.0,151117,580.06
2023-05-24,582.7,585.25,578.25,579.8,158808,583.06
2023-05-23,581.6,583.7,576.8,578.9,154666,580.66
2023-05-22,577.15,580.3,573.45,577.5,205172,577.12
2023-05-19,575.15,586.25,569.9,579.0,351340,576.07
2023-05-18,574.2,593.9,571.4,590.3,403645,583.0
2023-05-17,586.3,590.5,579.5,586.0,251054,584.82
2023-05-16,586.3,590.4,582.0,584.0,233142,586.03
2023-05-15,581.9,584.0,574.65,578.75,176477,581.35
2023-05-12,578.15,580.75,571.55,574.7,148890,576.81
2023-05-11,573.45,580.0,572.0,572.2,183896,574.59
2023-05-10,572.2,575.0,563.25,575.0,223302,568.87
2023-05-09,573.5,586.45,572.1,585.0,247801,576.83
2023-05-08,583.6,587.6,577.35,577.65,159186,582.04
2023-05-05,576.5,588.25,575.05,580.2,182941,582.81
2023-05-04,580.0,580.8,568.5,570.2,155082,576.93
2023-05-03,570.5,575.0,569.0,570.65,151234,572.27
2023-05-02,575.3,580.85,573.15,580.0,272846,577.47
2023-04-28,578.3,580.45,565.5,567.8,172070,572.14
2023-04-27,564.75,567.4,561.1,565.0,213129,564.04
2023-04-26,566.35,567.0,556.45,562.0,195651,562.67
2023-04-25,561.8,567.9,555.0,555.0,250488,562.34
2023-04-24,554.6,555.55,543.5,543.8,210456,550.47
2023-04-21,543.15,546.4,539.7,545.0,188920,542.35
2023-04-20,544.8,545.45,536.65,541.2,146793,541.56
2023-04-19,540.3,547.5,538.25,544.0,142208,543.32
2023-04-18,545.85,548.5,540.5,545.35,218269,545.32
2023-04-17,544.0,545.0,528.0,528.0,229953,539.11
2023-04-13,532.95,534.25,527.15,529.3,168188,530.4
2023-04-12,528.2,534.0,526.0,533.2,170950,529.65
2023-04-11,532.1,535.7,527.15,530.85,176416,533.07
2023-04-10,526.3,530.4,524.4,529.25,138261,527.28
2023-04-06,527.65,533.7,521.65,524.0,232693,528.66
2023-04-05,523.0,527.6,519.05,527.0,174172,522.57
2023-04-03,526.75,528.5,522.1,524.75,137769,525.94
2023-03-31,523.75,524.9,519.35,520.65,210617,522.06
2023-03-29,516.5,518.0,506.3,509.0,216794,512.21
2023-03-28,508.1,511.75,503.85,511.45,199721,507.96
2023-03-27,510.15,514.15,501.55,507.0,224703,509.28
2023-03-24,505.35,514.95,503.45,514.5,194898,510.24
2023-03-23,512.75,521.0,511.5,519.4,261069,517.21
2023-03-22,521.55,527.0,520.1,522.2,155900,523.63
2023-03-21,521.85,523.45,516.45,522.0,295453,520.33
2023-03-20,519.2,526.6,515.0,526.6,251690,518.98
2023-03-17,529.8,531.6,520.1,528.65,185372,526.55
2023-03-16,524.5,529.35,514.3,518.4,290873,521.02
2023-03-15,517.55,532.0,515.55,529.8,252252,524.47
2023-03-14,525.4,532.8,520.0,527.65,262481,524.87
2023-03-13,530.0,553.15,528.45,547.0,211599,537.53
2023-03-10,547.35,554.95,545.0,553.1,223557,548.4
2023-03-09,558.9,565.75,558.0,564.75,129019,561.63
2023-03-08,564.8,565.5,556.45,560.0,163357,561.23
2023-03-06,561.7,567.9,559.0,564.9,199841,563.48
2023-03-03,561.2,564.3,541.75,542.0,301105,557.8
2023-03-02,533.75,539.9,532.5,535.95,150813,535.45
2023-03-01,536.7,537.4,523.1,523.25,247974,532.39
2023-02-28,522.8,528.45,521.05,527.25,138340,523.97
2023-02-27,527.7,529.8,519.0,521.1,175532,525.49
2023-02-24,521.05,527.5,517.6,524.2,174036,522.25
2023-02-23,521.0,524.0,511.35,516.95,209593,518.82
2023-02-22,516.35,521.9,512.5,520.75,279932,516.6
2023-02-21,523.45,528.95,522.4,527.1,201064,525.46
2023-02-20,525.15,533.95,522.15,532.0,207013,526.99
2023-02-17,531.0,539.65,527.75,538.5,220159,532.32
2023-02-16,540.1,546.85,538.5,546.85,219926,542.25
2023-02-15,542.25,544.65,536.8,540.0,207687,541.31
2023-02-14,540.85,544.6,530.75,539.95,221342,536.92
2023-02-13,537.5,556.9,533.3,554.0,248043,539.69
2023-02-10,553.05,557.25,546.5,546.5,179516,553.81
2023-02-09,550.8,552.0,542.8,552.0,147809,548.33
2023-02-08,549.75,554.5,545.5,550.0,244248,549.76
2023-02-07,547.1,551.4,541.05,548.0,343935,546.83
2023-02-06,545.4,558.8,536.55,558.8,266976,545.24
2023-02-03,544.2,545.95,519.15,536.0,444091,535.23
2023-02-02,528.1,532.65,502.5,520.2,471242,521.91
2023-02-01,527.35,565.0,499.35,561.4,498247,541.41
2023-01-31,553.5,557.0,537.85,545.0,284762,550.83
2023-01-30,538.2,554.35,525.2,536.0,590951,536.97
2023-01-27,539.95,568.55,532.25,568.0,501251,548.08
2023-01-25,568.7,595.85,567.4,595.85,441882,574.28
2023-01-24,594.35,604.6,593.05,603.5,143693,597.94
2023-01-23,600.45,601.75,592.95,598.5,122483,599.43
2023-01-20,592.2,596.6,590.8,593.8,114106,593.93
2023-01-19,589.85,591.75,587.55,591.0,159313,589.57
2023-01-18,591.45,597.15,587.6,595.9,187691,591.61
2023-01-17,592.95,606.0,586.05,603.0,179000,593.93
2023-01-16,603.0,606.1,600.6,603.0,114056,603.22
2023-01-13,600.1,602.9,593.65,597.9,122377,598.73
2023-01-12,594.9,597.9,590.1,597.9,195861,593.57
2023-01-11,596.7,599.5,592.25,596.45,120446,596.73
2023-01-10,595.15,609.0,590.6,608.45,187602,596.1
2023-01-09,607.7,609.0,600.1,605.0,160223,606.07
2023-01-06,600.65,607.45,597.0,607.4,154179,601.57
2023-01-05,605.1,611.6,601.95,607.0,146571,605.84
2023-01-04,605.2,614.95,604.0,611.85,113548,607.74
2023-01-03,612.4,616.6,610.0,614.5,122799,613.26
2023-01-02,612.2,619.2,611.2,614.95,125418,614.42
2022-12-30,613.7,620.55,611.35,615.25,158347,615.43
2022-12-29,611.8,618.0,597.15,600.0,168187,608.16
2022-12-28,601.05,607.0,598.55,600.9,143945,602.94
2022-12-27,601.9,603.1,593.3,600.4,206219,598.21
2022-12-26,597.1,601.7,570.7,574.0,210003,589.64
2022-12-23,574.0,590.7,571.5,590.0,226901,579.55
2022-12-22,593.4,599.0,587.55,597.0,136417,592.49
2022-12-21,593.4,609.15,589.6,605.9,145768,599.66
2022-12-20,604.45,606.5,599.55,603.0,128701,602.65
2022-12-19,604.45,609.5,603.0,604.0,149442,605.78
2022-12-16,603.35,615.6,602.1,612.0,160875,607.83
2022-12-15,615.95,629.55,614.3,625.55,148853,621.92
2022-12-14,625.5,626.75,617.5,618.5,187174,623.52
2022-12-13,616.75,617.4,612.5,613.5,162670,615.45
2022-12-12,613.05,618.7,611.0,614.8,135955,613.74
2022-12-09,616.5,618.0,609.1,614.4,169991,613.84
2022-12-08,611.65,613.8,607.15,609.75,146277,611.14
2022-12-07,607.05,612.9,604.5,610.85,113416,607.96
2022-12-06,608.95,619.8,607.8,614.75,190699,613.29
2022-12-05,617.3,618.0,607.55,608.5,210728,614.05
2022-12-02,607.55,609.6,604.25,607.5,142901,607.29
2022-12-01,608.1,609.8,601.55,607.85,172004,605.68
2022-11-30,602.45,611.4,598.4,608.5,174362,603.09
2022-11-29,608.55,611.8,607.1,607.1,121735,609.32
2022-11-28,608.6,610.9,602.35,605.6,121851,606.01
2022-11-25,607.4,613.7,606.25,610.55,136359,609.3
2022-11-24,609.35,611.3,605.8,609.75,128229,608.75
2022-11-23,607.65,609.6,601.0,601.55,171897,606.5
2022-11-22,599.1,600.7,596.15,598.15,126028,598.56
2022-11-21,598.1,602.1,595.35,602.1,135865,598.39
2022-11-18,602.7,605.75,597.15,601.0,155935,601.12
2022-11-17,599.05,602.75,596.15,599.1,114824,599.41
